Index,Potencia,Hour,Date,Month,Year,Day,Day (Spanish),Tecnología
2024-01-01 00:00:00,-73.82,00:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 01:00:00,-84.19,01:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 02:00:00,-72.74,02:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 03:00:00,-45.88,03:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 04:00:00,-40.76,04:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 05:00:00,-38.91,05:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 06:00:00,-27.1,06:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 07:00:00,-29.1,07:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 08:00:00,-52.81,08:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 09:00:00,-38.3,09:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 10:00:00,-11.57,10:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 11:00:00,-53.03,11:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 12:00:00,-52.45,12:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 13:00:00,-30.63,13:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 14:00:00,-32.75,14:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 15:00:00,-113.1,15:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 16:00:00,-168.56,16:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 17:00:00,-55.42,17:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 19:00:00,-26.58,19:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 20:00:00,-23.68,20:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 21:00:00,-84.54,21:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 22:00:00,-125.23,22:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-01 23:00:00,-160.77,23:00,2024-01-01,January,2024,Monday,Lunes,Exportación
2024-01-02 00:00:00,-250.14,00:00,2024-01-02,January,2024,Tuesday,Martes,Exportación
2024-01-02 01:00:00,-202.41,01:00,2024-01-02,January,2024,Tuesday,Martes,Exportación
2024-01-02 02:00:00,-198.28,02:00,2024-01-02,January,2024,Tuesday,Martes,Exportación
2024-01-02 03:00:00,-230.89,03:00,2024-01-02,January,2024,Tuesday,Martes,Exportación
2024-01-02 04:00:00,-214.71,04:00,2024-01-02,January,2024,Tuesday,Martes,Exportación
2024-01-02 05:00:00,-229.72,05:00,2024-01-02,January,2024,Tuesday,Martes,Exportación
2024-01-02 06:00:00,-195.3,06:00,2024-01-02,January,2024,Tuesday,Martes,Exportación
2024-01-02 07:00:00,-152.18,07:00,2024-01-02,January,2024,Tuesday,Martes,Exportación
2024-01-02 08:00:00,-120.92,08:00,2024-01-02,January,2024,Tuesday,Martes,Exportación
2024-01-02 09:00:00,-112.24,09:00,2024-01-02,January,2024,Tuesday,Martes,Exportación
