Index,MWh,Hora,Month,Year,Day
2025-01-01 00:00:00,996.77,00:00,January,2025,Wednesday
2025-01-01 01:00:00,"1,141.50",01:00,January,2025,Wednesday
2025-01-01 02:00:00,"1,046.59",02:00,January,2025,Wednesday
2025-01-01 03:00:00,961.72,03:00,January,2025,Wednesday
2025-01-01 04:00:00,941.50,04:00,January,2025,Wednesday
2025-01-01 05:00:00,917.59,05:00,January,2025,Wednesday
2025-01-01 06:00:00,933.28,06:00,January,2025,Wednesday
2025-01-01 07:00:00,889.20,07:00,January,2025,Wednesday
2025-01-01 08:00:00,933.27,08:00,January,2025,Wednesday
2025-01-01 09:00:00,980.09,09:00,January,2025,Wednesday
2025-01-01 10:00:00,"1,076.74",10:00,January,2025,Wednesday
2025-01-01 11:00:00,"1,152.41",11:00,January,2025,Wednesday
2025-01-01 12:00:00,"1,196.57",12:00,January,2025,Wednesday
2025-01-01 13:00:00,"1,205.79",13:00,January,2025,Wednesday
2025-01-01 14:00:00,"1,170.23",14:00,January,2025,Wednesday
2025-01-01 15:00:00,"1,155.00",15:00,January,2025,Wednesday
2025-01-01 16:00:00,"1,182.40",16:00,January,2025,Wednesday
2025-01-01 17:00:00,"1,202.57",17:00,January,2025,Wednesday
2025-01-01 18:00:00,"1,416.83",18:00,January,2025,Wednesday
2025-01-01 19:00:00,"1,503.39",19:00,January,2025,Wednesday
2025-01-01 20:00:00,"1,464.04",20:00,January,2025,Wednesday
2025-01-01 21:00:00,"1,365.23",21:00,January,2025,Wednesday
2025-01-01 22:00:00,"1,238.81",22:00,January,2025,Wednesday
2025-01-01 23:00:00,"1,113.77",23:00,January,2025,Wednesday
2025-01-02 00:00:00,"1,192.74",00:00,January,2025,Thursday
2025-01-02 01:00:00,930.91,01:00,January,2025,Thursday
2025-01-02 02:00:00,910.82,02:00,January,2025,Thursday
2025-01-02 03:00:00,912.13,03:00,January,2025,Thursday
2025-01-02 04:00:00,911.83,04:00,January,2025,Thursday
2025-01-02 05:00:00,990.87,05:00,January,2025,Thursday
2025-01-02 06:00:00,"1,093.34",06:00,January,2025,Thursday
2025-01-02 07:00:00,"1,243.15",07:00,January,2025,Thursday
2025-01-02 08:00:00,"1,380.56",08:00,January,2025,Thursday
2025-01-02 09:00:00,"1,446.18",09:00,January,2025,Thursday
2025-01-02 10:00:00,"1,541.20",10:00,January,2025,Thursday
2025-01-02 11:00:00,"1,639.55",11:00,January,2025,Thursday
2025-01-02 12:00:00,"1,620.20",12:00,January,2025,Thursday
2025-01-02 13:00:00,"1,607.52",13:00,January,2025,Thursday
2025-01-02 14:00:00,"1,654.42",14:00,January,2025,Thursday
2025-01-02 15:00:00,"1,659.65",15:00,January,2025,Thursday
2025-01-02 16:00:00,"1,631.84",16:00,January,2025,Thursday
2025-01-02 17:00:00,"1,652.53",17:00,January,2025,Thursday
2025-01-02 18:00:00,"1,769.66",18:00,January,2025,Thursday
2025-01-02 19:00:00,"1,813.87",19:00,January,2025,Thursday
2025-01-02 20:00:00,"1,738.86",20:00,January,2025,Thursday
2025-01-02 21:00:00,"1,630.64",21:00,January,2025,Thursday
2025-01-02 22:00:00,"1,443.90",22:00,January,2025,Thursday
2025-01-02 23:00:00,"1,340.66",23:00,January,2025,Thursday
2025-01-03 00:00:00,"1,165.70",00:00,January,2025,Friday
2025-01-03 01:00:00,"1,105.31",01:00,January,2025,Friday
2025-01-03 02:00:00,"1,022.78",02:00,January,2025,Friday
2025-01-03 03:00:00,"1,026.32",03:00,January,2025,Friday
2025-01-03 04:00:00,"1,075.07",04:00,January,2025,Friday
2025-01-03 05:00:00,"1,100.28",05:00,January,2025,Friday
2025-01-03 06:00:00,"1,247.74",06:00,January,2025,Friday
2025-01-03 07:00:00,"1,322.61",07:00,January,2025,Friday
2025-01-03 08:00:00,"1,472.53",08:00,January,2025,Friday
2025-01-03 09:00:00,"1,539.45",09:00,January,2025,Friday
2025-01-03 10:00:00,"1,589.87",10:00,January,2025,Friday
2025-01-03 11:00:00,"1,671.72",11:00,January,2025,Friday
2025-01-03 12:00:00,"1,698.43",12:00,January,2025,Friday
2025-01-03 13:00:00,"1,672.59",13:00,January,2025,Friday
2025-01-03 14:00:00,"1,680.04",14:00,January,2025,Friday
2025-01-03 15:00:00,"1,658.32",15:00,January,2025,Friday
2025-01-03 16:00:00,"1,696.39",16:00,January,2025,Friday
2025-01-03 17:00:00,"1,700.67",17:00,January,2025,Friday
2025-01-03 18:00:00,"1,821.08",18:00,January,2025,Friday
2025-01-03 19:00:00,"1,847.91",19:00,January,2025,Friday
2025-01-03 20:00:00,"1,810.61",20:00,January,2025,Friday
2025-01-03 21:00:00,"1,630.27",21:00,January,2025,Friday
2025-01-03 22:00:00,"1,456.84",22:00,January,2025,Friday
2025-01-03 23:00:00,"1,310.43",23:00,January,2025,Friday
2025-01-04 00:00:00,"1,223.86",00:00,January,2025,Saturday
2025-01-04 01:00:00,"1,150.93",01:00,January,2025,Saturday
2025-01-04 02:00:00,"1,082.42",02:00,January,2025,Saturday
2025-01-04 03:00:00,"1,012.55",03:00,January,2025,Saturday
2025-01-04 04:00:00,"1,093.61",04:00,January,2025,Saturday
2025-01-04 05:00:00,"1,104.15",05:00,January,2025,Saturday
2025-01-04 06:00:00,"1,191.73",06:00,January,2025,Saturday
2025-01-04 07:00:00,"1,271.71",07:00,January,2025,Saturday
2025-01-04 08:00:00,"1,404.78",08:00,January,2025,Saturday
2025-01-04 09:00:00,"1,495.53",09:00,January,2025,Saturday
2025-01-04 10:00:00,"1,569.57",10:00,January,2025,Saturday
2025-01-04 11:00:00,"1,555.83",11:00,January,2025,Saturday
2025-01-04 12:00:00,"1,588.14",12:00,January,2025,Saturday
2025-01-04 13:00:00,"1,570.65",13:00,January,2025,Saturday
2025-01-04 14:00:00,"1,542.41",14:00,January,2025,Saturday
2025-01-04 15:00:00,"1,532.27",15:00,January,2025,Saturday
2025-01-04 16:00:00,"1,580.06",16:00,January,2025,Saturday
2025-01-04 17:00:00,"1,593.61",17:00,January,2025,Saturday
2025-01-04 18:00:00,"1,724.10",18:00,January,2025,Saturday
2025-01-04 19:00:00,"1,781.93",19:00,January,2025,Saturday
2025-01-04 20:00:00,"1,737.50",20:00,January,2025,Saturday
2025-01-04 21:00:00,"1,624.76",21:00,January,2025,Saturday
2025-01-04 22:00:00,"1,452.05",22:00,January,2025,Saturday
2025-01-04 23:00:00,"1,296.28",23:00,January,2025,Saturday
2025-01-05 00:00:00,"1,157.02",00:00,January,2025,Sunday
2025-01-05 01:00:00,"1,083.45",01:00,January,2025,Sunday
2025-01-05 02:00:00,"1,067.74",02:00,January,2025,Sunday
2025-01-05 03:00:00,"1,063.05",03:00,January,2025,Sunday
2025-01-05 04:00:00,"1,039.65",04:00,January,2025,Sunday
2025-01-05 05:00:00,"1,052.13",05:00,January,2025,Sunday
2025-01-05 06:00:00,"1,112.64",06:00,January,2025,Sunday
2025-01-05 07:00:00,"1,122.23",07:00,January,2025,Sunday
2025-01-05 08:00:00,"1,209.73",08:00,January,2025,Sunday
2025-01-05 09:00:00,"1,312.78",09:00,January,2025,Sunday
2025-01-05 10:00:00,"1,327.33",10:00,January,2025,Sunday
2025-01-05 11:00:00,"1,382.10",11:00,January,2025,Sunday
2025-01-05 12:00:00,"1,401.15",12:00,January,2025,Sunday
2025-01-05 13:00:00,"1,433.03",13:00,January,2025,Sunday
2025-01-05 14:00:00,"1,415.76",14:00,January,2025,Sunday
2025-01-05 15:00:00,"1,405.17",15:00,January,2025,Sunday
2025-01-05 16:00:00,"1,423.24",16:00,January,2025,Sunday
2025-01-05 17:00:00,"1,393.16",17:00,January,2025,Sunday
2025-01-05 18:00:00,"1,538.18",18:00,January,2025,Sunday
2025-01-05 19:00:00,"1,701.91",19:00,January,2025,Sunday
2025-01-05 20:00:00,"1,686.45",20:00,January,2025,Sunday
2025-01-05 21:00:00,"1,566.80",21:00,January,2025,Sunday
2025-01-05 22:00:00,"1,381.09",22:00,January,2025,Sunday
2025-01-05 23:00:00,"1,235.80",23:00,January,2025,Sunday
2025-01-06 00:00:00,"1,354.42",00:00,January,2025,Monday
2025-01-06 01:00:00,"1,020.68",01:00,January,2025,Monday
2025-01-06 02:00:00,"1,028.94",02:00,January,2025,Monday
2025-01-06 03:00:00,"1,048.05",03:00,January,2025,Monday
2025-01-06 04:00:00,991.45,04:00,January,2025,Monday
2025-01-06 05:00:00,"1,102.56",05:00,January,2025,Monday
2025-01-06 06:00:00,"1,257.81",06:00,January,2025,Monday
2025-01-06 07:00:00,"1,358.08",07:00,January,2025,Monday
2025-01-06 08:00:00,"1,540.52",08:00,January,2025,Monday
2025-01-06 09:00:00,"1,650.20",09:00,January,2025,Monday
2025-01-06 10:00:00,"1,695.62",10:00,January,2025,Monday
2025-01-06 11:00:00,"1,736.08",11:00,January,2025,Monday
2025-01-06 12:00:00,"1,789.51",12:00,January,2025,Monday
2025-01-06 13:00:00,"1,737.21",13:00,January,2025,Monday
2025-01-06 14:00:00,"1,752.76",14:00,January,2025,Monday
2025-01-06 15:00:00,"1,799.72",15:00,January,2025,Monday
2025-01-06 16:00:00,"1,821.19",16:00,January,2025,Monday
2025-01-06 17:00:00,"1,806.31",17:00,January,2025,Monday
2025-01-06 18:00:00,"1,813.23",18:00,January,2025,Monday
2025-01-06 19:00:00,"1,971.95",19:00,January,2025,Monday
2025-01-06 20:00:00,"1,892.97",20:00,January,2025,Monday
2025-01-06 21:00:00,"1,767.69",21:00,January,2025,Monday
2025-01-06 22:00:00,"1,600.17",22:00,January,2025,Monday
2025-01-06 23:00:00,"1,477.53",23:00,January,2025,Monday
2025-01-07 00:00:00,"1,315.81",00:00,January,2025,Tuesday
2025-01-07 01:00:00,"1,240.04",01:00,January,2025,Tuesday
2025-01-07 02:00:00,"1,186.55",02:00,January,2025,Tuesday
2025-01-07 03:00:00,"1,184.06",03:00,January,2025,Tuesday
2025-01-07 04:00:00,"1,163.87",04:00,January,2025,Tuesday
2025-01-07 05:00:00,"1,221.59",05:00,January,2025,Tuesday
2025-01-07 06:00:00,"1,350.04",06:00,January,2025,Tuesday
2025-01-07 07:00:00,"1,458.70",07:00,January,2025,Tuesday
2025-01-07 08:00:00,"1,603.97",08:00,January,2025,Tuesday
2025-01-07 09:00:00,"1,718.54",09:00,January,2025,Tuesday
2025-01-07 10:00:00,"1,772.42",10:00,January,2025,Tuesday
2025-01-07 11:00:00,"1,762.58",11:00,January,2025,Tuesday
2025-01-07 12:00:00,"1,837.99",12:00,January,2025,Tuesday
2025-01-07 13:00:00,"1,796.50",13:00,January,2025,Tuesday
2025-01-07 14:00:00,"1,781.11",14:00,January,2025,Tuesday
2025-01-07 15:00:00,"1,803.16",15:00,January,2025,Tuesday
