Index,MWh,Hora,Month,Year,Day
2025-05-01 00:00:00,1406.66,00:00,May,2025,Thursday
2025-05-01 01:00:00,1337.95,01:00,May,2025,Thursday
2025-05-01 02:00:00,1315.72,02:00,May,2025,Thursday
2025-05-01 03:00:00,1304.3,03:00,May,2025,Thursday
2025-05-01 04:00:00,1279.2,04:00,May,2025,Thursday
2025-05-01 05:00:00,1314.95,05:00,May,2025,Thursday
2025-05-01 06:00:00,1328.24,06:00,May,2025,Thursday
2025-05-01 07:00:00,1461.74,07:00,May,2025,Thursday
2025-05-01 08:00:00,1510.78,08:00,May,2025,Thursday
2025-05-01 09:00:00,1625.57,09:00,May,2025,Thursday
2025-05-01 10:00:00,1744.38,10:00,May,2025,Thursday
2025-05-01 11:00:00,1725.32,11:00,May,2025,Thursday
2025-05-01 12:00:00,1746.92,12:00,May,2025,Thursday
2025-05-01 13:00:00,1791.91,13:00,May,2025,Thursday
2025-05-01 14:00:00,1803.6,14:00,May,2025,Thursday
2025-05-01 15:00:00,1749.53,15:00,May,2025,Thursday
2025-05-01 16:00:00,1814.1,16:00,May,2025,Thursday
2025-05-01 17:00:00,1751.31,17:00,May,2025,Thursday
2025-05-01 18:00:00,1778.16,18:00,May,2025,Thursday
2025-05-01 19:00:00,2018.03,19:00,May,2025,Thursday
2025-05-01 20:00:00,1996.25,20:00,May,2025,Thursday
2025-05-01 21:00:00,1861.09,21:00,May,2025,Thursday
2025-05-01 22:00:00,1717.77,22:00,May,2025,Thursday
2025-05-01 23:00:00,1528.21,23:00,May,2025,Thursday
2025-05-02 00:00:00,1405.52,00:00,May,2025,Friday
2025-05-02 01:00:00,1348.21,01:00,May,2025,Friday
2025-05-02 02:00:00,1312.16,02:00,May,2025,Friday
2025-05-02 03:00:00,1277.51,03:00,May,2025,Friday
2025-05-02 04:00:00,1296.04,04:00,May,2025,Friday
2025-05-02 05:00:00,1345.62,05:00,May,2025,Friday
2025-05-02 06:00:00,1409.6,06:00,May,2025,Friday
2025-05-02 07:00:00,1523.59,07:00,May,2025,Friday
2025-05-02 08:00:00,1688.27,08:00,May,2025,Friday
2025-05-02 09:00:00,1840.25,09:00,May,2025,Friday
2025-05-02 10:00:00,1884.51,10:00,May,2025,Friday
2025-05-02 11:00:00,1911.05,11:00,May,2025,Friday
2025-05-02 12:00:00,1872.98,12:00,May,2025,Friday
2025-05-02 13:00:00,1815.57,13:00,May,2025,Friday
2025-05-02 14:00:00,1819.39,14:00,May,2025,Friday
2025-05-02 15:00:00,1840.28,15:00,May,2025,Friday
2025-05-02 16:00:00,1846.32,16:00,May,2025,Friday
2025-05-02 17:00:00,1839.05,17:00,May,2025,Friday
2025-05-02 18:00:00,1811.08,18:00,May,2025,Friday
2025-05-02 19:00:00,2016.7,19:00,May,2025,Friday
2025-05-02 20:00:00,1950.27,20:00,May,2025,Friday
2025-05-02 21:00:00,1860.04,21:00,May,2025,Friday
2025-05-02 22:00:00,1659.43,22:00,May,2025,Friday
2025-05-02 23:00:00,1540.2,23:00,May,2025,Friday
2025-05-03 00:00:00,1365.73,00:00,May,2025,Saturday
2025-05-03 01:00:00,1318.96,01:00,May,2025,Saturday
2025-05-03 02:00:00,1257.49,02:00,May,2025,Saturday
2025-05-03 03:00:00,1257.2,03:00,May,2025,Saturday
2025-05-03 04:00:00,1250.84,04:00,May,2025,Saturday
2025-05-03 05:00:00,1254.41,05:00,May,2025,Saturday
2025-05-03 06:00:00,1317.19,06:00,May,2025,Saturday
2025-05-03 07:00:00,1435.02,07:00,May,2025,Saturday
2025-05-03 08:00:00,1551.91,08:00,May,2025,Saturday
2025-05-03 09:00:00,1632.85,09:00,May,2025,Saturday
2025-05-03 10:00:00,1676.58,10:00,May,2025,Saturday
2025-05-03 11:00:00,1701.81,11:00,May,2025,Saturday
2025-05-03 12:00:00,1739.08,12:00,May,2025,Saturday
2025-05-03 13:00:00,1727.04,13:00,May,2025,Saturday
2025-05-03 14:00:00,1685.48,14:00,May,2025,Saturday
2025-05-03 15:00:00,1716.23,15:00,May,2025,Saturday
2025-05-03 16:00:00,1707.41,16:00,May,2025,Saturday
2025-05-03 17:00:00,1683.97,17:00,May,2025,Saturday
2025-05-03 18:00:00,1715.12,18:00,May,2025,Saturday
2025-05-03 19:00:00,1940.02,19:00,May,2025,Saturday
2025-05-03 20:00:00,1922.05,20:00,May,2025,Saturday
2025-05-03 21:00:00,1825.34,21:00,May,2025,Saturday
2025-05-03 22:00:00,1679.23,22:00,May,2025,Saturday
2025-05-03 23:00:00,1523.46,23:00,May,2025,Saturday
2025-05-04 00:00:00,1336.16,00:00,May,2025,Sunday
2025-05-04 01:00:00,1299.67,01:00,May,2025,Sunday
2025-05-04 02:00:00,1243.81,02:00,May,2025,Sunday
2025-05-04 03:00:00,1221.12,03:00,May,2025,Sunday
2025-05-04 04:00:00,1229.88,04:00,May,2025,Sunday
2025-05-04 05:00:00,1220.71,05:00,May,2025,Sunday
2025-05-04 06:00:00,1217.93,06:00,May,2025,Sunday
2025-05-04 07:00:00,1291.03,07:00,May,2025,Sunday
2025-05-04 08:00:00,1408.37,08:00,May,2025,Sunday
2025-05-04 09:00:00,1484.99,09:00,May,2025,Sunday
2025-05-04 10:00:00,1539.14,10:00,May,2025,Sunday
2025-05-04 11:00:00,1552.55,11:00,May,2025,Sunday
2025-05-04 12:00:00,1579.01,12:00,May,2025,Sunday
2025-05-04 13:00:00,1594.03,13:00,May,2025,Sunday
2025-05-04 14:00:00,1595.75,14:00,May,2025,Sunday
2025-05-04 15:00:00,1585.53,15:00,May,2025,Sunday
2025-05-04 16:00:00,1572.78,16:00,May,2025,Sunday
2025-05-04 17:00:00,1600.89,17:00,May,2025,Sunday
2025-05-04 18:00:00,1647.88,18:00,May,2025,Sunday
2025-05-04 19:00:00,1869.74,19:00,May,2025,Sunday
2025-05-04 20:00:00,1867.69,20:00,May,2025,Sunday
2025-05-04 21:00:00,1784.69,21:00,May,2025,Sunday
2025-05-04 22:00:00,1610.88,22:00,May,2025,Sunday
2025-05-04 23:00:00,1466.72,23:00,May,2025,Sunday
2025-05-05 00:00:00,1453.16,00:00,May,2025,Monday
2025-05-05 01:00:00,1245.32,01:00,May,2025,Monday
2025-05-05 02:00:00,1207.78,02:00,May,2025,Monday
2025-05-05 03:00:00,1182.33,03:00,May,2025,Monday
2025-05-05 04:00:00,1202.16,04:00,May,2025,Monday
2025-05-05 05:00:00,1289.01,05:00,May,2025,Monday
2025-05-05 06:00:00,1418.53,06:00,May,2025,Monday
2025-05-05 07:00:00,1574.64,07:00,May,2025,Monday
2025-05-05 08:00:00,1723.0,08:00,May,2025,Monday
2025-05-05 09:00:00,1842.86,09:00,May,2025,Monday
2025-05-05 10:00:00,1890.94,10:00,May,2025,Monday
2025-05-05 11:00:00,1921.16,11:00,May,2025,Monday
2025-05-05 12:00:00,1966.5,12:00,May,2025,Monday
2025-05-05 13:00:00,1945.74,13:00,May,2025,Monday
2025-05-05 14:00:00,1920.75,14:00,May,2025,Monday
2025-05-05 15:00:00,1995.7,15:00,May,2025,Monday
2025-05-05 16:00:00,1980.22,16:00,May,2025,Monday
2025-05-05 17:00:00,1939.23,17:00,May,2025,Monday
2025-05-05 18:00:00,1913.9,18:00,May,2025,Monday
2025-05-05 19:00:00,2084.4,19:00,May,2025,Monday
2025-05-05 20:00:00,2076.82,20:00,May,2025,Monday
2025-05-05 21:00:00,1971.74,21:00,May,2025,Monday
2025-05-05 22:00:00,1755.63,22:00,May,2025,Monday
